대분류,중분류,기능ID,기능명,상세설명,우선순위,구현위치,관련파일,입력,출력,비고
유틸리티,시간,UTIL-TIME-002,타임스탬프 검증,"블록 타임스탬프 유효성 검증",중간,src/validation.cpp,validation.cpp,타임스탬프,검증 결과,"2시간 규칙"
유틸리티,파일시스템,UTIL-FS-001,데이터 디렉토리 관리,"블록 및 설정 데이터 디렉토리 관리",중간,src/util/fs.cpp,"util/fs.cpp, util/fs.h",경로,디렉토리 핸들,"플랫폼 독립적"
유틸리티,파일시스템,UTIL-FS-002,Flat 파일 관리,"블록 및 undo 데이터 파일 관리",중간,src/flatfile.cpp,"flatfile.cpp, flatfile.h","데이터, 파일 위치",파일 핸들,"순차 접근"
유틸리티,로깅,UTIL-LOG-001,로그 출력,"카테고리별 로그 출력",낮음,src/logging.cpp,"logging.cpp, logging.h","로그 메시지, 카테고리",로그 파일/콘솔,"디버그용"
유틸리티,로깅,UTIL-LOG-002,로그 레벨 설정,"로그 레벨 및 카테고리 설정",낮음,src/logging.cpp,logging.cpp,"레벨, 카테고리",설정 결과,"동적 변경 가능"
성능,캐싱,PERF-CACHE-001,블록 캐시,"블록 데이터 메모리 캐시",중간,src/validation.cpp,validation.cpp,"블록 데이터, 캐시 크기",캐시된 블록,"LRU 정책"
성능,캐싱,PERF-CACHE-002,UTXO 캐시,"UTXO 세트 메모리 캐시",높음,src/coins.cpp,"coins.cpp, coins.h","UTXO 데이터, 캐시 크기",캐시된 UTXO,"Write-through 캐시"
성능,캐싱,PERF-CACHE-003,서명 캐시,"검증된 서명 캐시",중간,src/script/sigcache.cpp,"script/sigcache.cpp, script/sigcache.h",서명 데이터,캐시 히트 여부,"재검증 방지"
성능,병렬처리,PERF-PARALLEL-001,스크립트 병렬 검증,"트랜잭션 스크립트 병렬 검증",중간,src/validation.cpp,"validation.cpp, checkqueue.h",트랜잭션 목록,검증 결과,"멀티스레드"
성능,병렬처리,PERF-PARALLEL-002,블록 병렬 검증,"블록 검증 작업 병렬화",중간,src/validation.cpp,validation.cpp,블록 데이터,검증 결과,"스레드 풀"
성능,최적화,PERF-OPT-001,Compact Block,"블록 전파 최적화 (BIP 152)",중간,src/blockencodings.cpp,"blockencodings.cpp, blockencodings.h",블록 데이터,압축된 블록,"대역폭 절약"
성능,최적화,PERF-OPT-002,Bloom Filter,"트랜잭션 필터링 (BIP 37)",낮음,src/common/bloom.cpp,"common/bloom.cpp, common/bloom.h","필터, 데이터",매칭 여부,"SPV 지원"
테스트,단위테스트,TEST-UNIT-001,블록체인 테스트,"블록체인 로직 단위 테스트",높음,src/test/,src/test/ 전체,테스트 입력,테스트 결과,"Boost Test Framework"
테스트,단위테스트,TEST-UNIT-002,트랜잭션 테스트,"트랜잭션 로직 단위 테스트",높음,src/test/,src/test/ 전체,테스트 입력,테스트 결과,"스크립트 검증 포함"
테스트,단위테스트,TEST-UNIT-003,암호화 테스트,"암호화 함수 단위 테스트",높음,src/test/,src/test/ 전체,테스트 벡터,테스트 결과,"벡터 기반 테스트"
테스트,기능테스트,TEST-FUNC-001,RPC 테스트,"RPC 인터페이스 기능 테스트",높음,test/functional/,test/functional/ 전체,RPC 요청,RPC 응답,"Python 기반"
테스트,기능테스트,TEST-FUNC-002,P2P 테스트,"P2P 네트워크 기능 테스트",중간,test/functional/,test/functional/ 전체,네트워크 시나리오,테스트 결과,"노드 간 통신"
테스트,기능테스트,TEST-FUNC-003,지갑 테스트,"지갑 기능 통합 테스트",중간,test/functional/,test/functional/ 전체,지갑 시나리오,테스트 결과,"엔드투엔드 테스트"
테스트,퍼징,TEST-FUZZ-001,입력 퍼징,"모든 모듈 퍼징 테스트",낮음,src/test/fuzz/,src/test/fuzz/ 전체,무작위 입력,크래시 여부,"libFuzzer 사용"
설정,구성파일,CONFIG-001,설정 파일 파싱,"bitcoin.conf 파일 파싱",높음,src/common/args.cpp,common/args.cpp,설정 파일 경로,설정 객체,"키=값 형식"
설정,구성파일,CONFIG-002,명령행 옵션,"명령행 인자 처리",높음,src/common/args.cpp,common/args.cpp,argc/argv,설정 객체,"우선순위 높음"
설정,구성파일,CONFIG-003,설정 검증,"설정 값 유효성 검증",중간,src/common/args.cpp,common/args.cpp,설정 객체,검증 결과,"타입 체크"
빌드,빌드시스템,BUILD-001,CMake 빌드,"CMake 기반 빌드 시스템",높음,CMakeLists.txt,"CMakeLists.txt, cmake/ 전체","빌드 옵션, 타겟",빌드된 실행파일,"크로스 플랫폼"
빌드,빌드시스템,BUILD-002,의존성 관리,"외부 라이브러리 의존성 관리",높음,depends/,"depends/ 전체, vcpkg.json",라이브러리 소스,빌드된 라이브러리,"재현 가능한 빌드"
빌드,빌드시스템,BUILD-003,테스트 빌드,"테스트 실행파일 빌드",중간,test/CMakeLists.txt,test/ 및 src/test/,"테스트 소스, 빌드 옵션",테스트 실행파일,"ctest 통합"
문서,API문서,DOC-001,RPC API 문서,"RPC 메서드 문서화",중간,doc/,"doc/JSON-RPC-interface.md 등",없음,문서 파일,"사용자 가이드"
문서,API문서,DOC-002,개발자 가이드,"개발자 문서 및 가이드",낮음,doc/,doc/developer-notes.md,없음,문서 파일,"코딩 규칙"
문서,API문서,DOC-003,빌드 문서,"빌드 및 설치 가이드",중간,doc/,"doc/build-*.md, INSTALL.md",없음,문서 파일,"플랫폼별 가이드"
